Rank,City,Municipality,State,City status,Region,Geo. coordinates,2010 Census,2020 Census,Change %
1,Ciudad de Mexico,16 boroughs‡,Mexico City,Federal capital,Center,19°25′57″N99°07′52″W﻿/ 19.43250°N 99.13111°W﻿/ 19.43250; -99.13111,"8,851,080","9,209,944",4.05
2,Tijuana,Tijuana,Baja California,State largest city,North,32°32′05″N117°02′37″W﻿/ 32.53472°N 117.04361°W﻿/ 32.53472; -117.04361,"1,300,983","1,810,645",39.18
3,Ecatepec,Ecatepec,State of Mexico,State largest city,Center,19°36′35″N99°03′36″W﻿/ 19.60972°N 99.06000°W﻿/ 19.60972; -99.06000,"1,655,015","1,643,623",-0.69
4,Leon,León,Guanajuato,State largest city,Center,21°07′11″N101°40′50″W﻿/ 21.11972°N 101.68056°W﻿/ 21.11972; -101.68056,"1,238,962","1,579,803",27.51
5,Puebla,Puebla,Puebla,State capital and largest city,East,19°02′43″N98°11′51″W﻿/ 19.04528°N 98.19750°W﻿/ 19.04528; -98.19750,"1,434,062","1,542,232",7.54
6,Ciudad Juarez,Juárez,Chihuahua,State largest city,North,31°44′22″N106°29′13″W﻿/ 31.73944°N 106.48694°W﻿/ 31.73944; -106.48694,"1,321,004","1,501,551",13.67
7,Guadalajara,Guadalajara,Jalisco,State capital and largest city,West,20°40′35″N103°20′32″W﻿/ 20.67639°N 103.34222°W﻿/ 20.67639; -103.34222,"1,495,182","1,385,621",-7.33
8,Zapopan,Zapopan,Jalisco,City,West,20°43′14″N103°23′18″W﻿/ 20.72056°N 103.38833°W﻿/ 20.72056; -103.38833,"1,142,483","1,257,547",10.07
9,Monterrey,Monterrey,Nuevo Leon,State capital and largest city,North,25°40′17″N100°18′31″W﻿/ 25.67139°N 100.30861°W﻿/ 25.67139; -100.30861,"1,135,512","1,142,952",0.66
10,Ciudad Nezahualcoyotl,Nezahualcóyotl,State of Mexico,City,Center,19°24′00″N98°59′20″W﻿/ 19.40000°N 98.98889°W﻿/ 19.40000; -98.98889,"1,104,585","1,072,676",-2.89
11,Chihuahua,Chihuahua,Chihuahua,State capital,North,28°38′07″N106°05′20″W﻿/ 28.63528°N 106.08889°W﻿/ 28.63528; -106.08889,"809,232","925,762",14.4
